period,BA,DM,DO,DS,NA,OL,OT,PB,PE,PF,PH,PI,PL,PM,PP,RF,RM,RO,SF,SH,SO
102.0,0.0,233.9378054522761,28.303698132097303,150.88704368147526,118.28588730881243,17.77470266376415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,0.0,219.99927191118528,41.51115061701342,138.55748780060762,128.33410087944964,16.613922664284352,6.726587194035089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,0.0,195.993936470513,55.7630764639465,135.7755305097084,91.49710091067958,22.109004850280925,21.17383475237257,0.0,14.450047865395693,0.0,0.0,0.0,0.0,0.0,4.5857271840569656,0.0,0.0,0.0,0.0,0.0,0.0
105.0,0.0,261.2603484365761,102.183076624316,143.12941468622705,0.0,54.10904331433968,15.664259845793655,0.0,0.0,0.0,0.0,0.0,0.0,19.668682795353185,0.0,0.0,14.0295122980001,0.0,0.0,0.0,0.0
106.0,0.0,226.319907758856,58.35237223644628,118.81364176815721,77.62855137135053,38.80937231084078,7.712243100810026,0.0,0.0,0.0,0.0,0.0,0.0,22.646998616176127,0.0,0.0,13.712972277317508,0.0,0.0,0.0,0.0
107.0,0.0,262.74636677709384,53.79034053844623,155.61443632601916,188.5100194107343,38.19076179969095,7.712243100810026,0.0,29.133812166037615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.96767821123592,0.0,0.0,0.0,0.0
108.0,0.0,259.25571341892345,114.42348083358338,169.09961756546863,45.91949491592037,72.35686118679138,0.0,0.0,16.37653552039577,0.0,0.0,0.0,0.0,8.424518775412142,0.0,0.0,12.888074800243828,0.0,0.0,0.0,0.0
109.0,0.0,229.37887093512495,80.35865421239706,192.5113403109999,154.84286776212537,39.79673173734384,16.609482909768133,0.0,22.889283778491503,0.0,0.0,0.0,0.0,25.473434695554527,12.945459661676216,0.0,8.281490594707059,0.0,0.0,0.0,0.0
110.0,0.0,212.99172338609674,94.40310029339156,206.5348625472081,199.36458957591907,29.04721686555198,0.0,0.0,32.758030613209144,0.0,0.0,0.0,0.0,12.581691786948918,12.931977060179381,0.0,0.0,0.0,0.0,0.0,0.0
111.0,0.0,226.0826923796473,91.65133172558143,202.3886348447553,150.40284568315622,55.574810832775285,7.712243100810026,0.0,20.862399797254646,0.0,0.0,0.0,0.0,20.594714623031702,6.726587194035089,0.0,4.29602493341461,0.0,0.0,0.0,0.0
